日期,渠道,区域,品类,用户层级,访问量,订单数,收入,退款订单数,退款金额,营销成本
2025-01-04,付费广告,华北,办公,活跃客,95,8,2317.91,0,0.0,252.21
2025-06-14,付费广告,华南,办公,新客,119,1,214.03,0,0.0,455.42
2025-02-18,付费广告,西南,数码,活跃客,103,7,5390.3,1,638.19,281.8
2024-01-29,转介绍,华东,家居,活跃客,61,7,2574.64,1,351.74,37.41
2024-12-21,内容种草,华北,家居,活跃客,122,3,1179.7,0,0.0,119.73
2024-02-02,自然搜索,华南,食品,活跃客,76,1,149.65,0,0.0,32.85
2024-08-16,内容种草,华东,办公,高价值客,54,4,1515.51,0,0.0,55.38
2024-12-20,内容种草,西南,家居,活跃客,102,1,373.5,0,0.0,108.37
2024-09-01,付费广告,华东,食品,活跃客,77,3,470.44,0,0.0,210.77
2024-12-02,付费广告,西南,食品,高价值客,157,15,2639.03,0,0.0,427.64
2024-06-29,转介绍,华东,办公,新客,51,2,374.55,0,0.0,30.47
2025-04-07,自然搜索,华北,食品,新客,87,3,449.33,0,0.0,37.72
2024-03-27,转介绍,西南,办公,新客,60,6,1512.61,1,189.6,35.73
2024-10-22,内容种草,华南,家居,新客,66,2,738.76,0,0.0,72.87
2024-09-09,自然搜索,华东,数码,活跃客,93,4,2517.79,1,490.38,40.96
2024-03-15,自然搜索,华东,数码,高价值客,79,3,2593.3,0,0.0,31.19
2024-03-09,转介绍,西南,服饰,活跃客,56,3,978.55,1,268.89,33.29
2025-05-07,内容种草,华东,服饰,活跃客,94,7,1702.19,1,218.35,95.62
2024-10-14,内容种草,华南,服饰,活跃客,80,2,528.9,0,0.0,87.07
2024-10-15,自然搜索,华南,办公,沉睡唤醒,78,4,769.59,0,0.0,30.14
2024-05-26,自然搜索,华东,家居,高价值客,61,4,1724.8,0,0.0,24.19
2025-03-23,自然搜索,西南,家居,新客,84,2,546.2,0,0.0,32.65
2025-04-28,内容种草,华东,办公,新客,92,3,663.63,0,0.0,101.99
2024-01-16,付费广告,西南,家居,活跃客,96,3,1380.9,0,0.0,253.48
2025-01-12,自然搜索,华东,数码,沉睡唤醒,81,2,1258.64,0,0.0,36.16
2025-06-17,自然搜索,华北,家居,高价值客,101,7,4026.19,1,531.19,45.18
2025-05-23,付费广告,华东,办公,新客,110,3,570.4,0,0.0,442.32
2025-04-23,内容种草,华南,服饰,新客,95,6,1821.24,1,240.41,104.82
2025-04-03,内容种草,华南,食品,活跃客,93,6,826.61,1,120.46,101.17
2024-08-14,转介绍,华东,家居,新客,56,2,627.65,0,0.0,30.11
2024-11-19,自然搜索,华南,办公,高价值客,98,13,4753.72,0,0.0,41.85
2024-11-22,自然搜索,华南,数码,新客,94,4,2188.65,0,0.0,37.34
2025-05-20,自然搜索,西南,食品,沉睡唤醒,87,1,103.0,0,0.0,34.01
2024-01-05,付费广告,华南,数码,新客,74,0,0.0,0,0.0,205.08
2025-01-31,自然搜索,华南,食品,高价值客,64,5,1194.69,0,0.0,24.84
2024-03-28,自然搜索,西南,食品,沉睡唤醒,64,3,302.7,0,0.0,26.53
2024-09-24,自然搜索,西南,办公,新客,97,7,1169.71,0,0.0,37.94
2024-04-09,付费广告,华南,数码,活跃客,78,6,4391.72,0,0.0,234.35
2024-11-17,付费广告,华东,家居,新客,120,3,937.74,0,0.0,317.44
2024-06-26,自然搜索,华南,办公,新客,74,2,490.87,0,0.0,31.95
2024-01-29,付费广告,华南,数码,新客,81,3,1760.79,0,0.0,229.86
2025-05-15,内容种草,华南,服饰,沉睡唤醒,106,4,936.3,1,185.65,118.75
2024-09-18,自然搜索,华北,家居,高价值客,71,9,4901.8,1,425.04,31.51
2024-03-26,付费广告,华东,服饰,高价值客,65,3,1321.31,0,0.0,192.62
2025-02-03,自然搜索,华南,服饰,活跃客,95,7,2183.08,0,0.0,39.84
2025-01-22,内容种草,西南,食品,沉睡唤醒,66,4,402.21,0,0.0,73.42
2025-05-14,自然搜索,华南,办公,高价值客,79,4,1437.4,0,0.0,32.84
2025-04-07,付费广告,华东,办公,新客,104,3,683.27,0,0.0,393.84
2025-02-16,付费广告,华南,服饰,活跃客,92,6,1937.17,1,300.76,279.29
2024-07-23,自然搜索,华东,家居,沉睡唤醒,82,2,592.05,0,0.0,32.57
2025-02-23,付费广告,西南,数码,沉睡唤醒,87,4,2193.13,0,0.0,232.47
2024-02-07,内容种草,西南,服饰,高价值客,63,1,433.27,0,0.0,65.79
2025-02-27,内容种草,西南,数码,高价值客,90,3,2884.0,0,0.0,91.07
2025-02-26,付费广告,华南,数码,沉睡唤醒,98,2,1302.84,0,0.0,260.09
2024-09-28,付费广告,西南,服饰,沉睡唤醒,108,0,0.0,0,0.0,306.02
2024-10-02,付费广告,华东,家居,新客,101,3,867.44,0,0.0,298.32
2024-07-20,自然搜索,华东,服饰,沉睡唤醒,92,5,1265.57,1,195.46,37.45
2025-04-11,付费广告,华南,数码,新客,93,3,1681.35,0,0.0,355.51
2025-04-03,转介绍,华北,食品,沉睡唤醒,70,3,335.94,0,0.0,38.17
2024-08-13,自然搜索,华南,数码,新客,91,5,3419.8,0,0.0,37.29
